ticketId,Date (Ticket Created),Date (Ticket Last Updated),Date (Ticket Solved),Type,Category,Sub Category,Ticket Group,Ticket Status,corpId,Ticket Requester Domain,Z Channel,# SLA tickets,# SLAs Achieved,# SLAs Breached (Total),% Achieved,% Breached
540668,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,4717,syf.com,App,1,0,1,0,1
540669,7/9/18,7/10/18,7/10/18,Other,Unknown Category,Unknown,L1 - Support,Closed,-,zeta.in,Email,1,0,1,0,1
540670,7/9/18,7/10/18,7/10/18,Other,Unknown Category,Unknown,L1 - Support,Closed,-,zeta.in,Email,1,0,1,0,1
540671,7/9/18,7/20/18,7/13/18,Complaint,Corporate Benefit Related,Meal voucher not received - Routed to HR,L1 - Support,Closed,5254,accenture.com,Chat,1,1,1,0.5,0.5
540672,7/9/18,7/20/18,7/13/18,Complaint,Payment Related,Refund not received,L2 - Escalations,Closed,4717,syf.com,Phone,1,1,0,1,0
540673,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,460,uneecops.com,App,1,0,1,0,1
540674,7/9/18,7/17/18,7/10/18,Query,KYC Related,Self serve KYC,L1 - Support,Closed,460,uneecops.com,App,1,0,1,0,1
540675,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,460,uneecops.com,App,1,0,1,0,1
540676,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,460,uneecops.com,App,1,0,1,0,1
540677,7/9/18,7/18/18,7/11/18,Request,Account Related,Reset recovery password,L1 - Support,Closed,-,capgemini.com,Email,1,0,2,0,1
540678,7/9/18,7/23/18,7/16/18,Complaint,Corporate Benefit Related,Meal voucher not received,L2 - Escalations,Closed,768,gmail.com,Email,1,1,4,0.2,0.8
540679,7/9/18,7/18/18,7/10/18,Complaint,Payment Related,Refund not received,L2 - Escalations,Closed,5254,accenture.com,Phone,1,1,0,1,0
540680,7/9/18,7/19/18,7/19/18,Complaint,Payment Related,Refund not received,Escalation Desk,Closed,3859,amazon.com,web form,1,0,1,0,1
540681,7/9/18,7/18/18,7/11/18,Complaint,Payment Related,Add funds via UPI dispute,L2 - Escalations,Closed,-,gmail.com,App,1,1,1,0.5,0.5
540682,7/9/18,7/18/18,7/11/18,Complaint,Payment Related,Add funds via UPI dispute,L2 - Escalations,Closed,-,zeta.in,App,1,1,1,0.5,0.5
540683,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L2 - Escalations,Closed,4707,idfcbank.com,App,,0,0,,
540684,7/9/18,7/14/18,7/9/18,Query,KYC Related,Self serve KYC,L1 - Support,Closed,207,livspace.com,Chat,1,1,0,1,0
540685,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,460,uneecops.com,Chat,1,1,1,0.5,0.5
540687,7/9/18,7/16/18,7/9/18,Query,App Related,How to use Meal card,L1 - Support,Closed,5254,gmail.com,Chat,1,1,0,1,0
540689,7/9/18,7/16/18,7/16/18,Complaint,Corporate Benefit Related,Meal voucher not received,Escalation Desk,Closed,299,vtcorp.in,Chat,1,1,2,0.333333333333333,0.666666666666667
540690,7/9/18,7/17/18,7/10/18,Query,App Related,Set/Change Static PIN via App,L1 - Support,Closed,-,deloitte.com,Email,1,1,1,0.5,0.5
540692,7/9/18,7/17/18,7/10/18,Query,App Related,Set/Change Static PIN via App,L1 - Support,Closed,10584,zeta.in,App,1,0,1,0,1
540693,7/9/18,7/20/18,7/13/18,Complaint,App Related,Unable to upload bills,L2 - Escalations,Closed,4519,cgi.com,Email,1,1,1,0.5,0.5
540695,7/9/18,7/19/18,7/12/18,Request,Account Related,Zeta account migration,L2 - Escalations,Closed,10716,tracxn.com,web form,1,1,0,1,0
540696,7/9/18,7/19/18,7/12/18,Other,Unknown Category,Unknown,L1 - Support,Closed,-,gmail.com,Email,1,1,1,0.5,0.5
540697,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,-,zeta.in,App,1,0,1,0,1
540698,7/9/18,7/12/18,7/12/18,Complaint,Corporate Benefit Related,Bill approved but remain unpaid,L1 - Support,Closed,681,indegene.com,Chat,1,1,0,1,0
540699,7/9/18,7/13/18,7/13/18,Query,KYC Related,Self serve KYC,L1 - Support,Closed,-,gmail.com,Email,1,0,1,0,1
540700,7/9/18,7/15/18,7/12/18,Request,Account Related,Zeta account migration,L2 - Escalations,Closed,5508,fmr.com,Phone,1,1,0,1,0
540701,7/9/18,7/16/18,7/9/18,Other,DNC,Blank chat,L1 - Support,Closed,11017,d2h.com,Chat,1,1,0,1,0
540702,7/9/18,7/20/18,7/13/18,Query,Product Related,Zeta wallet,L1 - Support,Closed,5254,accenture.com,App,1,1,2,0.333333333333333,0.666666666666667
540703,7/9/18,7/17/18,7/10/18,Request,Account Related,Zeta account migration,L1 - Support,Closed,-,sodexo.com,Email,1,0,1,0,1
540704,7/9/18,7/12/18,7/12/18,Request,Account Related,Zeta account migration,L2 - Escalations,Closed,14640,flex.com,Email,1,1,2,0.333333333333333,0.666666666666667
540705,7/9/18,7/14/18,7/11/18,Request,Account Related,Reset recovery password,L1 - Support,Closed,6154,hotmail.com,Email,1,0,2,0,1
540706,7/9/18,7/17/18,7/10/18,Query,App Related,Bill upload,L1 - Support,Closed,4519,cgi.com,App,1,0,1,0,1
540707,7/9/18,7/10/18,7/10/18,Complaint,Ticket Followup,Ticket status,L1 - Support,Closed,4519,cgi.com,App,1,0,1,0,1
540709,7/9/18,7/16/18,7/9/18,Complaint,Corporate Benefit Related,Bill approved but remain unpaid,L1 - Support,Closed,681,indegene.com,Chat,1,1,0,1,0
540710,7/9/18,7/13/18,7/13/18,Complaint,Payment Related,Add funds via Debit/Net banking dispute,L1 - Support,Closed,-,gmail.com,Email,1,0,1,0,1
540711,7/9/18,7/18/18,7/17/18,Complaint,Merchant Related,Curation issues,Escalation Desk,Closed,5003,wifidabba.com,Email,1,0,2,0,1
540712,7/9/18,7/17/18,7/10/18,Request,Merchant Related,Merchant suggestion,L2 - Escalations,Closed,-,zeta.in,App,1,1,0,1,0
540714,7/9/18,7/24/18,7/17/18,Complaint,Payment Related,Refund not received,L2 - Escalations,Closed,3572,gmail.com,App,1,1,3,0.25,0.75
540715,7/9/18,7/17/18,7/10/18,Request,Account Related,Reset recovery password,L1 - Support,Closed,-,zeta.in,App,1,0,1,0,1
540717,7/9/18,7/19/18,7/12/18,Request,Account Related,Block account,L1 - Support,Closed,-,rediffmail.com,App,1,0,4,0,1
540718,7/9/18,7/16/18,7/16/18,Complaint,Payment Related,Remote transaction dispute,L1 - Support,Closed,5254,accenture.com,Chat,1,1,3,0.25,0.75
540719,7/9/18,7/17/18,7/10/18,Query,Product Related,Super card status Routed to HR,L1 - Support,Closed,3859,amazon.com,Chat,1,0,1,0,1
540720,7/9/18,7/17/18,7/10/18,Complaint,Payment Related,Super card online dispute,L1 - Support,Closed,604,altimetrik.com,Chat,1,2,1,0.666666666666667,0.333333333333333
540721,7/9/18,7/9/18,7/9/18,Other,Feedback Related,Products,Social Media,Closed,-,,Play Store,1,1,0,1,0
540724,7/9/18,7/13/18,7/13/18,Other,Unknown Category,Unknown,L1 - Support,Closed,-,gmail.com,Email,1,0,1,0,1
